OBSID,PNT_NO,FILTER,DATATYPE,EXT_NO,DATE-OBS,DATE-END,MIDTIME,EXPOSURE,WHEELPOS,RA_PNT,DEC_PNT,PA_PNT,ASPCORR,MOD8CORR,FLATCORR,CLOCKAPP,x_pixel,y_pixel,RA,DEC,delta,r,elong
05000058003,1,V grism,image,1,2021-10-04T22:37:19,2021-10-04T22:52:25,2021-10-04T22:44:52.000,892.461010547202,955,74.4266252365781,31.9632811903015,78.9899431555251,NONE,False,False,False,537.1670168958176,1544.3354313200375,74.42962,31.9645,5.43187196774594,5.918845514732,114.6126
05000058003,2,UVW1,image,1,2021-10-04T22:52:33,2021-10-04T22:53:55,2021-10-04T22:53:14.000,81.5177972490107,1200,74.4266252365781,31.9632811903015,78.9899431555251,DIRECT,False,False,False,666.9160315444941,622.9009625649311,74.42927,31.96466,5.43179379902377,5.918847173744,114.6196
05000059001,1,V,image,1,2021-10-05T00:06:11,2021-10-05T00:06:27,2021-10-05T00:06:19.000,15.5173779001385,600,74.4300237307879,31.9774281490611,78.9861438523369,DIRECT,False,False,False,679.1523968343483,579.7961151540994,74.42948,31.96538,5.4311085719105,5.918861665538,114.6658
05000059001,1,V,image,2,2021-10-05T00:06:30,2021-10-05T00:09:12,2021-10-05T00:07:51.000,159.224151962751,600,74.4300237307879,31.9774281490611,78.9861438523369,DIRECT,False,False,False,673.2777995441805,574.4129067708219,74.42945,31.96542,5.43108990017002,5.918861969596,114.667
05000059001,1,V,image,3,2021-10-05T00:09:15,2021-10-05T00:09:56,2021-10-05T00:09:35.500,40.2213821336899,600,74.4300237307879,31.9774281490611,78.9861438523369,DIRECT,False,False,False,675.8916372405948,572.4728714328321,74.4294,31.96546,5.43106899434131,5.918862314967,114.6684
05000059002,1,UVW1,image,1,2021-10-05T00:10:18,2021-10-05T00:14:56,2021-10-05T00:12:37.000,273.047205255543,1200,74.4278509131287,31.9638952943301,78.9997079465363,DIRECT,False,False,False,667.5618507309061,624.8972022152185,74.42931,31.96554,5.43103359976164,5.918862914819,114.6708
05000059003,1,V grism,image,1,2021-10-05T00:15:20,2021-10-05T00:31:22,2021-10-05T00:23:21.000,946.603451128301,955,74.4292515665425,31.965441221742,78.9977935241925,NONE,False,False,False,557.5264390196885,1540.6778637482007,74.42888,31.96578,5.43092016873895,5.918865043206,114.6797
05000059003,2,UVW1,image,1,2021-10-05T00:31:28,2021-10-05T00:32:56,2021-10-05T00:32:12.000,86.0133963200788,1200,74.4292515665425,31.965441221742,78.9977935241925,DIRECT,False,False,False,677.2244665368522,621.2833299381964,74.42852,31.96594,5.4308427090215,5.918866798113,114.687
05000060001,1,V,image,1,2021-10-05T03:16:43,2021-10-05T03:17:47,2021-10-05T03:17:15.000,62.7644943288303,600,74.3351550865939,32.0141402656962,78.9276832377678,DIRECT,False,False,False,397.91211408468155,451.4598978555016,74.42822,31.9678,5.42926619793382,5.918899527927,114.795
05000060001,1,V,image,2,2021-10-05T03:17:49,2021-10-05T03:17:55,2021-10-05T03:17:52.000,6.16786155607583,2200,74.3351550865939,32.0141402656962,78.9276832377678,DIRECT,False,False,False,387.2991957994749,450.0646862998758,74.42821,31.96782,5.42925865984238,5.91889965022,114.7955
05000060002,1,UVW1,image,1,2021-10-05T03:18:19,2021-10-05T03:22:55,2021-10-05T03:20:37.000,272.091638073606,1200,74.4358587158641,31.9637306935032,79.0036826295433,DIRECT,False,False,False,697.478595094717,633.4123194093103,74.42814,31.96789,5.4292255131317,5.918900195581,114.7977
05000060003,1,V grism,image,1,2021-10-05T03:23:19,2021-10-05T03:38:26,2021-10-05T03:30:52.500,892.471777957792,955,74.4260329556865,31.9678682555908,78.9920772722314,NONE,False,False,False,545.0267997095075,1536.1827186899982,74.42777,31.96813,5.42911136049015,5.918902229929,114.8061
05000060003,2,UVW1,image,1,2021-10-05T03:38:32,2021-10-05T03:39:56,2021-10-05T03:39:14.000,82.2345120287152,1200,74.4260329556865,31.9678682555908,78.9920772722314,DIRECT,False,False,False,670.319312491278,619.0644223531647,74.42741,31.9683,5.42903237025829,5.918903887467,114.8131
